Uniprot ID	Gatii	Parwo	ParAc	ATSwo	ATSAc
usage_prot_E6QXI7	CGB_A3440W	0	0	0	0
usage_prot_E6QXJ2	CGB_A3490C	0	107.202889731327	0	8910.70257390641
usage_prot_E6QXK2	CGB_A3590W	13066.7165654821	761.600959851134	13567.394301241	871.93735499779
usage_prot_E6QXM3	CGB_A4140C	703.867975290574	81.2067215194001	745.2647297212	87.3512434082017
usage_prot_E6QXM8	CGB_A4190W	0	29.5790240233685	0	41.0750601324476
usage_prot_E6QXP4	CGB_A4350C	468.021852850028	53.9966607464661	489.790311158743	56.7156876681804
usage_prot_E6QXQ1	CGB_A4420W	0	0	0	0
usage_prot_E6QXQ6	CGB_A4470W	0	17949.257443548	0	23851.8014221094
usage_prot_E6QXR0	CGB_A4510W	3975.53706185935	2387.28426387477	3917.53847542545	3023.24472097633
usage_prot_E6QXR4	CGB_A4550C	0	17949.257443548	0	23851.8014221094
usage_prot_E6QXT2	CGB_A4730W	0	335.266028017217	0	387.915329666537
usage_prot_E6QXU2	CGB_A4830C	0	17949.257443548	0	23851.8014221094
usage_prot_E6QXV1	CGB_A5060C	0	0	0	0
usage_prot_E6QXX4	CGB_A5290W	300.830522917981	34.7074470728411	314.822640239121	37.3335925969225
usage_prot_E6QXY0	CGB_A5350W	0	17949.257443548	0	23851.8014221094
usage_prot_E6QXY5	CGB_A5400W	0	0	0	0
usage_prot_E6QXY6	CGB_A5410C	137.674597787062	15.7088445952971	135.681637729606	19.7029929055624
usage_prot_E6QXZ2	CGB_A5470W	0	5010.12259702016	0	6263.94448262086
usage_prot_E6QXZ3	CGB_A5490C	0	0	0	0
usage_prot_E6QXZ8	CGB_A5540W	0	0	0	0
usage_prot_E6QY04	CGB_A5600C	0	0	0	0
usage_prot_E6QY09	CGB_A5650W	0	0	0	0
usage_prot_E6QY12	CGB_A5680C	0	0	0	0
usage_prot_E6QY36	CGB_A6090C	0.969839355218809	0.111892400153764	1.01494817676792	0.102890393769683
usage_prot_E6QY40	CGB_A6130W	0	0	0	0
usage_prot_E6QY45	CGB_A6180W	0	0	0	0
usage_prot_E6QY51	CGB_A6250W	0	0	0	0
usage_prot_E6QY53	CGB_A6270W	0	0	0	0
usage_prot_E6QY71	CGB_A6450W	0	0	0	0
usage_prot_E6QY73	CGB_A6470C	0	17.635898439552	0	19.9414579018565
usage_prot_E6QY75	CGB_A6490W	40719.6874931412	4010.00278617933	39993.3940373089	4639.83383369428
usage_prot_E6QY90	CGB_A6640W	0	52.02107297524	0	60.1908182105618
usage_prot_E6QY98	CGB_A7040W	223125.129859553	25742.4132379806	233503.042876262	23671.3756340728
usage_prot_E6QYA2	CGB_A7080C	1073.06035959424	105.672297087101	1053.8989398541	122.269275763838
usage_prot_E6QYE2	CGB_A7480W	0	0	0	0
usage_prot_E6QYE9	CGB_A7550W	0	0	0	0
usage_prot_E6QYF0	CGB_A7560C	0	17949.257443548	0	23851.8014221094
usage_prot_E6QYF4	CGB_A7600W	15105.8084007391	17949.257443548	14912.5691764427	23851.8014221094
usage_prot_E6QYH0	CGB_A8040W	0	0	0	0
usage_prot_E6QYI3	CGB_A8170W	0	0	0	0
usage_prot_E6QYI8	CGB_A8230W	1085.77010038649	17949.257443548	1136.27103524998	23851.8014221094
usage_prot_E6QYJ5	CGB_A8300W	0	0	0	0
usage_prot_E6QYK0	CGB_A8350W	19207.3932902662	19906.8115858856	19981.9024465551	26453.0896828028
usage_prot_E6QYL4	CGB_A8490W	17.0827631160066	1.71694269566542	16.9352129166285	1.9672492683096
